epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,93382.3,0.55362,0.31014,0.80788,0.97115,0.91236,0.94039,0.82029,0.40829,0.19823,0.78274,0.005842,0.005842,0.005842
44,95696.9,0.55019,0.30865,0.80708,0.9719,0.91307,0.94067,0.82045,0.40751,0.19766,0.78262,0.005743,0.005743,0.005743
45,97909.2,0.54856,0.30779,0.80671,0.97088,0.91092,0.93917,0.82067,0.40684,0.19727,0.78245,0.005644,0.005644,0.005644
46,100093,0.54723,0.30651,0.8069,0.96967,0.91215,0.93962,0.82034,0.40649,0.19646,0.78247,0.005545,0.005545,0.005545
47,102280,0.54449,0.30461,0.80594,0.96919,0.91443,0.94106,0.82165,0.40481,0.19569,0.78221,0.005446,0.005446,0.005446
48,104462,0.54074,0.30197,0.8053,0.96991,0.91498,0.94126,0.82185,0.40469,0.19497,0.78206,0.005347,0.005347,0.005347
49,106645,0.54066,0.30189,0.80569,0.97013,0.91488,0.94159,0.82265,0.40374,0.19437,0.78196,0.005248,0.005248,0.005248
50,108844,0.53756,0.30011,0.80529,0.97084,0.91461,0.94188,0.82254,0.40308,0.19382,0.78175,0.005149,0.005149,0.005149
51,111061,0.53486,0.2985,0.80442,0.97007,0.91499,0.94172,0.82376,0.40139,0.19337,0.78166,0.00505,0.00505,0.00505
52,113338,0.53525,0.29804,0.80501,0.96956,0.91571,0.94291,0.82444,0.40023,0.19241,0.78156,0.004951,0.004951,0.004951
53,115658,0.53257,0.29599,0.8041,0.96951,0.91557,0.94279,0.82458,0.40061,0.19222,0.78144,0.004852,0.004852,0.004852
54,118054,0.52975,0.29612,0.80416,0.97045,0.91465,0.94256,0.82505,0.39912,0.19162,0.78123,0.004753,0.004753,0.004753
55,120430,0.52746,0.29316,0.8035,0.9687,0.91659,0.9432,0.82646,0.39676,0.19094,0.781,0.004654,0.004654,0.004654
56,122873,0.52526,0.29151,0.80357,0.96958,0.91672,0.94292,0.82715,0.39464,0.19021,0.78078,0.004555,0.004555,0.004555
57,125162,0.52232,0.29013,0.80241,0.97229,0.9166,0.94385,0.82764,0.3942,0.1899,0.78064,0.004456,0.004456,0.004456
58,127349,0.52022,0.28882,0.80204,0.97195,0.91743,0.94422,0.82846,0.39272,0.18929,0.78053,0.004357,0.004357,0.004357
59,129577,0.51722,0.28631,0.80155,0.97279,0.91798,0.94557,0.82892,0.3924,0.18859,0.78048,0.004258,0.004258,0.004258
60,131719,0.51794,0.28711,0.80183,0.97228,0.91823,0.94534,0.82949,0.39112,0.18792,0.78036,0.004159,0.004159,0.004159
61,133852,0.51508,0.28417,0.80149,0.97204,0.91792,0.94558,0.83044,0.38922,0.18707,0.78017,0.00406,0.00406,0.00406
62,135988,0.51248,0.28402,0.80164,0.97147,0.91801,0.94518,0.83079,0.38747,0.18612,0.77998,0.003961,0.003961,0.003961
63,138123,0.51032,0.28165,0.8005,0.97063,0.91896,0.94583,0.83171,0.38607,0.1854,0.77975,0.003862,0.003862,0.003862
64,140254,0.50804,0.27973,0.80106,0.97114,0.91846,0.94546,0.83238,0.38447,0.18485,0.77951,0.003763,0.003763,0.003763
65,142386,0.50626,0.27906,0.80043,0.97325,0.91855,0.94602,0.83324,0.38258,0.18392,0.7794,0.003664,0.003664,0.003664
66,144514,0.50204,0.27677,0.79944,0.9727,0.91846,0.94657,0.83497,0.37974,0.18279,0.77918,0.003565,0.003565,0.003565
67,146644,0.50125,0.27476,0.7992,0.97171,0.91897,0.94641,0.8351,0.37904,0.18213,0.77896,0.003466,0.003466,0.003466
68,148777,0.5002,0.27454,0.7991,0.97137,0.91931,0.94676,0.83507,0.37834,0.18151,0.7787,0.003367,0.003367,0.003367
69,150909,0.49647,0.27235,0.79874,0.96985,0.92149,0.94757,0.83594,0.37667,0.18109,0.77857,0.003268,0.003268,0.003268
70,153044,0.4945,0.27044,0.79843,0.97111,0.92025,0.94718,0.83595,0.3756,0.18056,0.77844,0.003169,0.003169,0.003169
71,155180,0.4916,0.26886,0.79799,0.97158,0.91972,0.94705,0.83575,0.37547,0.18013,0.77841,0.00307,0.00307,0.00307
72,157318,0.4894,0.26733,0.79794,0.97163,0.92003,0.94772,0.83687,0.37328,0.17925,0.77823,0.002971,0.002971,0.002971
73,159452,0.48743,0.26661,0.79724,0.9724,0.92054,0.94804,0.83756,0.37209,0.17875,0.77795,0.002872,0.002872,0.002872
74,161590,0.48384,0.26403,0.79682,0.97198,0.92128,0.94847,0.8382,0.37168,0.17852,0.77778,0.002773,0.002773,0.002773
75,163728,0.48079,0.26132,0.79625,0.97067,0.92192,0.94841,0.83869,0.37027,0.17787,0.77763,0.002674,0.002674,0.002674
76,165863,0.47897,0.26027,0.79594,0.9732,0.92086,0.94876,0.83946,0.36911,0.17738,0.77756,0.002575,0.002575,0.002575
77,167998,0.47543,0.25811,0.79631,0.97425,0.91965,0.9484,0.8404,0.36763,0.17676,0.7775,0.002476,0.002476,0.002476
78,170136,0.47317,0.25647,0.7956,0.97323,0.92033,0.94867,0.8413,0.36567,0.176,0.77734,0.002377,0.002377,0.002377
79,172276,0.46995,0.2537,0.79481,0.97241,0.92073,0.9487,0.84249,0.36324,0.1747,0.77719,0.002278,0.002278,0.002278
80,174410,0.46717,0.25199,0.7949,0.97404,0.92102,0.9489,0.84348,0.36066,0.17377,0.77706,0.002179,0.002179,0.002179
81,176662,0.46378,0.25002,0.79372,0.97499,0.9219,0.95005,0.84408,0.35928,0.1731,0.77684,0.00208,0.00208,0.00208
82,178952,0.4606,0.24817,0.79348,0.9769,0.92135,0.95054,0.8448,0.35912,0.17261,0.77666,0.001981,0.001981,0.001981
83,181256,0.45738,0.2456,0.79304,0.97621,0.92244,0.95118,0.8459,0.35748,0.17194,0.7765,0.001882,0.001882,0.001882
84,183576,0.45421,0.24377,0.79292,0.97597,0.92183,0.95041,0.84563,0.35696,0.17167,0.77631,0.001783,0.001783,0.001783
85,185900,0.4511,0.24067,0.79202,0.97599,0.92269,0.9509,0.84628,0.35583,0.17089,0.77609,0.001684,0.001684,0.001684
86,188218,0.44712,0.23855,0.79172,0.97219,0.92535,0.95182,0.84715,0.35425,0.17026,0.77578,0.001585,0.001585,0.001585
87,190580,0.44407,0.23578,0.79107,0.97342,0.92478,0.95163,0.84807,0.3521,0.16941,0.77549,0.001486,0.001486,0.001486
88,192764,0.43954,0.23318,0.79061,0.97373,0.92487,0.95183,0.84897,0.35008,0.16847,0.77526,0.001387,0.001387,0.001387
89,194932,0.43561,0.23065,0.79011,0.97737,0.92273,0.95201,0.85,0.34789,0.16765,0.77512,0.001288,0.001288,0.001288
90,197072,0.43257,0.22803,0.7897,0.97494,0.92475,0.95216,0.85124,0.34611,0.16716,0.77491,0.001189,0.001189,0.001189
91,199227,0.39491,0.2096,0.78068,0.97471,0.92521,0.95248,0.85216,0.34419,0.16648,0.77487,0.00109,0.00109,0.00109
92,201348,0.38949,0.20624,0.77961,0.97578,0.92503,0.95248,0.85242,0.34319,0.16617,0.77483,0.000991,0.000991,0.000991
93,203466,0.3842,0.20278,0.77918,0.97445,0.92565,0.95279,0.85322,0.34281,0.1654,0.77472,0.000892,0.000892,0.000892
94,205585,0.37865,0.20006,0.77809,0.97472,0.926,0.95315,0.85382,0.34146,0.16448,0.7746,0.000793,0.000793,0.000793
95,207698,0.37269,0.19547,0.77734,0.97509,0.92657,0.95388,0.85504,0.33871,0.16361,0.77444,0.000694,0.000694,0.000694
96,209810,0.36684,0.19157,0.77693,0.97577,0.92784,0.95478,0.85597,0.33673,0.16283,0.77422,0.000595,0.000595,0.000595
97,211924,0.36125,0.18703,0.77593,0.97634,0.92738,0.95495,0.85709,0.33414,0.16177,0.77396,0.000496,0.000496,0.000496
98,214037,0.35532,0.18258,0.77506,0.97659,0.92804,0.95502,0.85778,0.33162,0.1607,0.77361,0.000397,0.000397,0.000397
99,216149,0.3491,0.17808,0.77433,0.97744,0.9276,0.95485,0.85865,0.33006,0.15986,0.77328,0.000298,0.000298,0.000298
100,218262,0.34385,0.17347,0.77383,0.97629,0.9281,0.95475,0.85974,0.32747,0.15849,0.77298,0.000199,0.000199,0.000199
